"","look","sum","output"
"394","consumer",107,"spending"
"395","contact",109,"us"
"396","contemporary",128,"art"
"397","continue",83,"work"
"398","contributed",306,"report"
"399","control",91,"prevention"
"400","convention",210,"center"
"401","conventional",72,"wisdom"
"402","cook",137,"county"
"403","cool",60,"stuff"
"404","coroner",69,"s"
"405","corp",57,"s"
"406","corps",70,"engineers"
"407","cory",75,"booker"
"408","cost",121,"million"
"409","costa",76,"mesa"
"410","council",325,"members"
"411","country",481,"s"
"412","county",578,"s"
"413","couple",332,"years"
"414","course",77,"will"
"415","court",276,"judge"
"416","cover",69,"refrigerate"
"417","cream",69,"cheese"
"418","create",177,"jobs"
"419","creating",88,"jobs"
"420","credit",239,"cards"
"421","crew",90,"members"
"422","criminal",142,"justice"
"423","critical",88,"condition"
"424","critics",105,"say"
"425","cross",134,"country"
"426","cruise",62,"ship"
"427","cubic",63,"feet"
"428","cumberland",79,"county"
"429","cup",107,"coffee"
"430","current",73,"former"
"431","customer",213,"service"
"432","customers",66,"can"
"433","customs",74,"enforcement"
"434","cut",132,"back"
"435","cutest",17623,"thing"
"436","cuts",60,"state"
"437","cuyahoga",564,"county"
"438","cy",68,"young"
"439","dad",99,"s"
"440","daily",116,"news"
"441","dalai",66,"lama"
"442","dallas",66,"cowboys"
"443","damn",77,"good"
"444","dance",79,"floor"
"445","dancing",79,"stars"
"446","dark",76,"chocolate"
"447","data",71,"show"
"448","date",17610,"beach"
"449","dating",94,"back"
"450","daughter",182,"s"
"451","david",96,"freese"
"452","davis",136,"said"
"453","day",276,"just"
"454","days",210,"later"
"455","dc",82,"united"
"456","de",226,"mayo"
"457","deal",17617,"unsymetrical"
"458","dealer",87,"reporter"
"459","death",186,"penalty"
"460","debate",95,"whether"
"461","debit",70,"card"
"462","debt",197,"crisis"
"463","decade",113,"ago"
"464","decades",109,"ago"
"465","decide",113,"whether"
"466","decided",60,"go"
"467","decision",87,"made"
"468","decisions",76,"made"
"469","declined",400,"comment"
"470","deep",62,"breath"
"471","defazio",63,"said"
"472","defending",76,"champion"
"473","defense",418,"thanks"
"474","defensive",246,"end"
"475","definitely",93,"going"
"476","del",70,"mar"
"477","delta",84,"air"
"478","democratic",156,"party"
"479","democrats",75,"republicans"
"480","dennis",101,"kucinich"
"481","denver",141,"s"
"482","department",330,"s"
"483","deputy",89,"chief"
"484","derrick",109,"rose"
"485","des",106,"moines"
"486","designated",100,"hitter"
"487","despite",92,"fact"
"488","dessert",17615,"started"
"489","detention",94,"center"
"490","determine",163,"whether"
"491","detroit",128,"s"
"492","development",77,"director"
"493","developmental",79,"disabilities"
"494","dick",84,"clark"
"495","didnt",138,"know"
"496","die",403,"just"
"497","died",77,"last"
"498","diego",91,"state"
"499","different",109,"ways"
"500","difficult",76,"time"
"501","dim",57,"sum"
"502","dimora",144,"s"
"503","dining",296,"room"
"504","dinner",80,"tonight"
"505","direct",69,"message"
"506","director",89,"said"
"507","disabled",155,"list"
"508","disease",109,"control"
"509","disney",103,"world"
"510","disorderly",97,"conduct"
"511","district",310,"s"
"512","division",148,"ii"
"513","dm",80,"us"
"514","doctor",97,"s"
"515","documents",75,"show"
"516","dodger",72,"stadium"
"517","doesnt",63,"mean"
"518","domestic",187,"violence"
"519","dominican",79,"republic"
"520","donald",71,"trump"
"521","done",80,"right"
"522","dont",484,"know"
"523","doors",83,"open"
"524","double",92,"play"
"525","dow",120,"jones"
"526","downton",65,"abbey"
"527","downtown",91,"portland"
"528","dr",84,"guy"
"529","draft",137,"pick"
"530","dream",76,"come"
"531","dreams",80,"come"
"532","drewniak",68,"said"
"533","drink",75,"specials"
"534","drinking",89,"water"
"535","drive",59,"home"
"536","driver",216,"s"
"537","driving",70,"influence"
"538","dropped",113,"percent"
"539","drug",115,"administration"
"540","drunken",89,"driving"
"541","dust",17608,"way"
"542","dwight",110,"howard"
"543","e",90,"street"
"544","earlier",381,"year"
"545","early",17618,"observations"
"546","earned",76,"runs"
"547","earth",155,"day"
"548","earthquake",76,"tsunami"
"549","east",228,"coast"
"550","easter",61,"bunny"
"551","eastern",160,"conference"
"552","easy",83,"get"
"553","eat",61,"drink"
"554","economic",357,"development"
"555","economy",63,"said"
"556","ed",68,"fitzgerald"
"557","editor",59,"s"
"558","editorial",81,"board"
"559","education",89,"commissioner"
"560","effect",17610,"hug"
"561","egypt",75,"s"
"562","eight",239,"years"
"563","eighth",66,"grade"
"564","either",212,"way"
"565","el",109,"camino"
"566","elected",238,"officials"
"567","election",144,"day"
"568","electric",67,"co"
"569","elementary",398,"school"
"570","eli",70,"manning"
"571","else",125,"s"
"572","email",133,"address"
"573","emergency",112,"room"
"574","employee",71,"unions"
"575","employs",75,"people"
"576","en",162,"route"
"577","end",252,"day"
"578","endangered",95,"species"
"579","ends",60,"meet"
"580","energy",77,"efficiency"
"581","enforcement",85,"officials"
"582","england",98,"patriots"
"583","enjoy",78,"day"
"584","enough",152,"time"
"585","entire",68,"season"
"586","entirely",74,"different"
"587","environmental",177,"protection"
"588","episcopal",74,"church"
"589","especially",110,"since"
"590","espn",64,"s"
"591","essex",256,"county"
"592","estate",73,"tax"
"593","estimated",159,"million"
"594","euro",76,"zone"
"595","europe",218,"s"
"596","european",138,"union"
"597","even",17619,"hold"
"598","event",189,"will"
"599","ever",17889,"seen"
"600","every",17617,"inch"
"601","everybody",146,"s"
"602","everyday",17616,"can"
"603","everyone",333,"else"
"604","everything",202,"else"
"605","evidence",17613,"jury"
"606","examiner",68,"s"
"607","exchange",100,"commission"
"608","excited",203,"see"
"609","executive",725,"director"
"610","expect",69,"see"
"611","expected",71,"continue"
"612","experience",87,"said"
"613","experts",193,"say"
