"","look","sum","output"
"73407","childrens expo",34,"currently"
"73408","china breathe",27,"want"
"73409","china early",33,"observations"
"73410","china go",27,"romantic"
"73411","china s",25,"central"
"73412","china well",26,"pretty"
"73413","chinese new",26,"year"
"73414","chinese officials",31,"said"
"73415","choice go",27,"romantic"
"73416","choir bell",25,"choir"
"73417","cholesterol pill",33,"lipitor"
"73418","choosing eat",26,"raw"
"73419","choral award",29,"chosen"
"73420","choreographer rennie",36,"harris"
"73421","chorus line",26,"june"
"73422","chris christie",32,"proposed"
"73423","chris del",27,"borrello"
"73424","chris heisey",24,"lf"
"73425","chris nelson",23,"s"
"73426","christ medical",30,"center"
"73427","christian high",30,"school"
"73428","christian school",36,"sebastian"
"73429","christie made",28,"sure"
"73430","christie michael",35,"drewniak"
"73431","christie s",34,"administration"
"73432","christie said",29,"crazy"
"73433","christie signed",36,"legislation"
"73434","christies proposed",34,"budget"
"73435","christmas dinner",32,"dance"
"73436","christmas happy",28,"new"
"73437","christmas new",28,"year"
"73438","christmas number",31,"spot"
"73439","christopher cerf",30,"said"
"73440","christopher hanneken",31,"s"
"73441","chronicle books",30,"pages"
"73442","chronicle s",31,"editorial"
"73443","chrysler ford",30,"general"
"73444","chrysler group",28,"llc"
"73445","chuck reed",28,"council"
"73446","church deal",34,"unsymetrical"
"73447","church every",26,"inch"
"73448","church guy",26,"front"
"73449","church hosting",31,"program"
"73450","church rose",25,"ave"
"73451","church talking",27,"mom"
"73452","church thankful",35,"childhood"
"73453","cia requests",29,"publish"
"73454","cia s",30,"threedecadeold"
"73455","cincinnati children",30,"s"
"73456","cinematographer javier",46,"aguirresarobe"
"73457","cipriano young",29,"broke"
"73458","circle also",27,"billed"
"73459","circle beat",31,"bryzgalov"
"73460","circuit court",29,"behalf"
"73461","circuit judge",27,"john"
"73462","circulating tumor",33,"cells"
"73463","cited disorderly",34,"conduct"
"73464","cited driving",30,"without"
"73465","cited possession",35,"marijuana"
"73466","cities last",25,"year"
"73467","cities new",25,"york"
"73468","cities towns",28,"across"
"73469","cities united",29,"states"
"73470","cities use",27,"cameras"
"73471","citizen advisory",35,"committee"
"73472","citizens legal",33,"residents"
"73473","citizenship illegal",39,"immigrants"
"73474","citizenship immigration",41,"services"
"73475","citizenship register",34,"vote"
"73476","city already",28,"spends"
"73477","city area",20,"s"
"73478","city attorney",31,"michael"
"73479","city bench",28,"wideopen"
"73480","city business",36,"administrator"
"73481","city club",28,"cleveland"
"73482","city college",25,"san"
"73483","city comptroller",31,"john"
"73484","city council",31,"scheduled"
"73485","city councilman",30,"kevin"
"73486","city east",21,"st"
"73487","city employees",31,"working"
"73488","city hall",28,"sponsored"
"73489","city kan",23,"denny"
"73490","city mayor",27,"lorenzo"
"73491","city monday",27,"night"
"73492","city municipal",30,"court"
"73493","city officials",33,"declined"
"73494","city parking",31,"authority"
"73495","city pleaded",29,"guilty"
"73496","city police",31,"department"
"73497","city portland",24,"s"
"73498","city property",26,"tax"
"73499","city s",29,"contribution"
"73500","city said",28,"atlantic"
"73501","city school",28,"system"
"73502","city tough",28,"economic"
"73503","city university",29,"new"
"73504","city will",23,"set"
"73505","civic center",26,"park"
"73506","civil rights",31,"violated"
"73507","civil service",33,"employees"
"73508","civil union",29,"couples"
"73509","civil unions",26,"gay"
"73510","clackamas community",36,"college"
"73511","clackamas county",35,"residents"
"73512","claimed responsibility",38,"attack"
"73513","clara county",31,"superior"
"73514","class a",29,"championship"
"73515","class already",33,"announced"
"73516","class early",33,"observations"
"73517","class guy",24,"table"
"73518","class holland",27,"like"
"73519","class right",24,"now"
"73520","class semifinals",30,"past"
"73521","class state",32,"tournament"
"73522","classes older",29,"adults"
"73523","clay models",35,"painstakingly"
"73524","clayton school",33,"district"
"73525","cld o",20,"dock"
"73526","clean air",25,"watch"
"73527","clean communities",33,"grants"
"73528","clean ocean",27,"action"
"73529","clean water",25,"act"
"73530","clear divisions",32,"within"
"73531","clear legal",30,"authority"
"73532","clement st",24,"near"
"73533","clementi committed",35,"suicide"
"73534","clementi s",25,"death"
"73535","clerk courts",29,"coroner"
"73536","cleveland chapter",29,"s"
"73537","cleveland city",34,"councilman"
"73538","cleveland clinic",31,"said"
"73539","cleveland cuyahoga",34,"county"
"73540","cleveland electric",41,"illuminating"
"73541","cleveland euclid",29,"ave"
"73542","cleveland general",34,"manager"
"73543","cleveland golden",33,"gloves"
"73544","cleveland got",28,"jail"
"73545","cleveland housing",33,"court"
"73546","cleveland institute",35,"music"
"73547","cleveland international",38,"fund"
"73548","cleveland law",27,"firm"
"73549","cleveland m",23,"pm"
"73550","cleveland municipal",35,"court"
"73551","cleveland ohio",29,"last"
"73552","cleveland public",31,"power"
"73553","cleveland regional",36,"transit"
"73554","cleveland s",27,"house"
"73555","cleveland sports",37,"commission"
"73556","cleveland theater",36,"community"
"73557","client s",25,"behalf"
"73558","climate action",28,"plan"
"73559","climate change",36,"nonpartisan"
"73560","clinic s",23,"main"
"73561","clint eastwood",29,"aired"
"73562","clint o",23,"connor"
"73563","close achievement",31,"gap"
"73564","close california",27,"s"
"73565","close early",34,"observations"
"73566","close embrace",30,"rupert"
"73567","close million",29,"budget"
"73568","close projected",33,"million"
"73569","close second",29,"quarter"
"73570","closed due",28,"flooding"
"73571","closed first",26,"half"
"73572","closed five",26,"hours"
"73573","closed last",25,"year"
"73574","closed two",25,"weeks"
"73575","closest earth",30,"syzygy"
"73576","closing fundraising",33,"gap"
"73577","closing service",33,"letters"
"73578","closing stock",28,"price"
"73579","closures also",32,"expected"
"73580","clove garlic",28,"minced"
"73581","club cleveland",30,"euclid"
"73582","club country",26,"club"
"73583","club drama",24,"want"
"73584","club grateful",27,"good"
"73585","club ice",25,"bucket"
"73586","club road",21,"st"
"73587","club roland",25,"park"
"73588","club s",24,"website"
"73589","club tustin",26,"ranch"
"73590","clues whatsoever",33,"stunned"
"73591","clybourne park",30,"bruce"
"73592","clyburn south",31,"carolina"
"73593","cni charter",27,"prime"
"73594","co chief",27,"executive"
"73595","co fell",25,"percent"
"73596","co gave",21,"ceo"
"73597","co jumped",27,"percent"
"73598","co new",20,"york"
"73599","co owns",20,"los"
"73600","co said",25,"tuesday"
"73601","coach andy",24,"reid"
"73602","coach avery",28,"johnson"
"73603","coach bill",30,"belichick"
"73604","coach bob",28,"mcmillen"
"73605","coach bobby",29,"petrino"
"73606","coach bret",28,"bielema"
"73607","coach bruce",27,"weber"
"73608","coach c",23,"vivian"
"73609","coach dennis",31,"erickson"
"73610","coach don",27,"haskins"
"73611","coach eric",27,"mangini"
"73612","coach erik",29,"spoelstra"
"73613","coach every",25,"inch"
"73614","coach go",26,"romantic"
"73615","coach gregg",30,"popovich"
"73616","coach guy",24,"front"
"73617","coach jerry",26,"york"
"73618","coach jim",27,"schwartz"
"73619","coach john",28,"spencer"
"73620","coach jon",25,"embree"
"73621","coach just",24,"like"
"73622","coach kevin",25,"long"
"73623","coach kyle",26,"flood"
"73624","coach lawrence",29,"frank"
"73625","coach like",27,"people"
"73626","coach lionel",29,"hollins"
"73627","coach mike",27,"babcock"
"73628","coach nba",27,"history"
"73629","coach pat",25,"casey"
"73630","coach per",24,"year"
"73631","coach peter",32,"laviolette"
"73632","coach phil",28,"jackson"
"73633","coach sean",27,"miller"
"73634","coach team",27,"history"
"73635","coach tom",23,"izzo"
"73636","coaches athletic",35,"directors"
"73637","coaches three",33,"different"
"73638","coaching staff",30,"fisher"
"73639","coalition agreed",29,"end"
"73640","coast guard",31,"suspended"
"73641","coast plaza",23,"s"
"73642","cobb cherokee",32,"counties"
"73643","cochise county",31,"sheriff"
"73644","cocktail shaker",28,"ice"
"73645","code address",30,"property"
"73646","coen true",23,"grit"
"73647","coeur d",23,"alene"
"73648","cofounder former",29,"ceo"
"73649","cofounder phil",31,"knight"
"73650","cold hard",23,"cash"
"73651","collective bargaining",41,"agreements"
"73652","college art",28,"design"
"73653","college arts",30,"sciences"
"73654","college basketball",37,"programs"
"73655","college breathe",30,"want"
"73656","college cutest",30,"thing"
"73657","college free",29,"agents"
"73658","college get",25,"good"
"73659","college gi",25,"bill"
"73660","college grateful",31,"good"
"73661","college men",22,"s"
"73662","college officials",32,"said"
"73663","college radio",31,"station"
"73664","college s",27,"website"
"73665","college san",30,"francisco"
"73666","college southern",32,"nevada"
"73667","college talking",28,"mom"
"73668","college thankful",35,"childhood"
"73669","college university",37,"missouri"
"73670","college urban",30,"affairs"
"73671","collette set",27,"march"
"73672","collins already",28,"led"
"73673","collinsville granite",34,"city"
"73674","color ring",25,"gold"
"73675","colorado boulder",33,"campus"
"73676","colorado department",35,"public"
"73677","colorado minnesota",36,"missouri"
"73678","colorado river",29,"basin"
"73679","colson helping",30,"define"
"73680","colt mccoy",23,"can"
"73681","columbia valley",29,"wash"
"73682","columbia vp",26,"cash"
"73683","columbus cincinnati",35,"toledo"
"73684","columbus dispatch",35,"reported"
"73685","columbus ohio",29,"state"
"73686","column miss",28,"manners"
"73687","combine ingredients",34,"small"
"73688","come back",24,"play"
"73689","come different",35,"backgrounds"
"73690","come early",33,"observations"
"73691","come fast",25,"enough"
"73692","come give",27,"anything"
"73693","come go",26,"romantic"
"73694","come grateful",28,"good"
"73695","come hang",21,"us"
"73696","come hey",27,"sunshine"
"73697","come honor",29,"teachers"
"73698","come ice",25,"bucket"
"73699","come just",22,"one"
"73700","come little",24,"bit"
"73701","come next",24,"year"
"73702","come right",25,"back"
"73703","come san",23,"diego"
"73704","come together",30,"quickly"
"73705","come us",24,"supreme"
"73706","comeback broken",30,"neck"
"73707","comerica park",28,"will"
"73708","comes full",27,"circle"
"73709","comes two",25,"months"
"73710","comic strip",26,"live"
"73711","coming back",28,"playing"
"73712","coming fiscal",27,"year"
"73713","coming guy",25,"front"
"73714","coming high",28,"school"
"73715","coming home",30,"coalition"
"73716","coming next",25,"week"
"73717","coming school",28,"year"
"73718","coming series",29,"sweep"
"73719","coming soon",26,"stay"
"73720","coming years",26,"said"
"73721","command three",30,"pitches"
"73722","commander mark",29,"kelly"
"73723","commemorate th",36,"anniversary"
"73724","commemorative wine",34,"glass"
"73725","comment pending",36,"litigation"
"73726","comments section",31,"tell"
"73727","commerce department",31,"s"
"73728","commerce labor",33,"committee"
"73729","commercial clint",34,"eastwood"
"73730","commercial director",30,"s"
"73731","commercial fishing",36,"vessels"
"73732","commercial initially",38,"attacked"
"73733","commercial pga",28,"tour"
"73734","commercial shaun",31,"white"
"73735","commission breathe",32,"want"
"73736","commission chairman",34,"peter"
"73737","commission commission",36,"will"
"73738","commission cutest",33,"thing"
"73739","commission guy",30,"table"
"73740","commission illinois",35,"gaming"
"73741","commission last",29,"week"
"73742","commission s",27,"staff"
"73743","commissioner bret",37,"schundlers"
"73744","commissioner christopher",38,"cerf"
"73745","commissioner hug",31,"kiss"
"73746","commissioner mike",33,"slive"
"73747","commissioner nick",32,"fish"
"73748","commissioner tim",34,"finchem"
"73749","commissioners elected",37,"county"
"73750","committed public",34,"servant"
"73751","committee every",29,"inch"
"73752","committee hey",32,"sunshine"
"73753","committee member",30,"said"
"73754","committee ohh",34,"pointbreak"
"73755","committee s",36,"recommendations"
"73756","committee thankful",37,"childhood"
"73757","commodity futures",34,"trading"
"73758","common new",26,"jersey"
"73759","communication workers",38,"america"
"73760","communications commission",39,"will"
"73761","communities also",30,"will"
"73762","community action",37,"partnership"
"73763","community affairs",40,"commissioner"
"73764","community arts",31,"center"
"73765","community center",32,"north"
"73766","community colleges",40,"universities"
"73767","community council",28,"s"
"73768","community credit",31,"union"
"73769","community development",36,"block"
"73770","community gathering",34,"place"
"73771","community recreation",36,"center"
"73772","commuter rail",29,"tunnel"
"73773","compact car",29,"segment"
"73774","companies around",32,"world"
"73775","companies fell",32,"percent"
"73776","companies finance",34,"rebuild"
"73777","companies hire",34,"thousands"
"73778","company berkshire",35,"hathaway"
"73779","company chief",32,"executive"
"73780","company earned",32,"million"
"73781","company federal",36,"prosecutors"
"73782","company issued",33,"statement"
"73783","company now",27,"offers"
"73784","company officials",36,"allegedly"
"73785","company provide",32,"details"
"73786","company s",31,"distribution"
"73787","company said",32,"wednesday"
"73788","company says",26,"will"
"73789","company st",26,"louis"
"73790","company telefonica",29,"s"
"73791","company told",28,"state"
"73792","company well",32,"positioned"
"73793","compared million",32,"cents"
"73794","compared previous",32,"year"
"73795","compared prior",28,"year"
"73796","compared shoe",33,"trademark"
"73797","compared year",27,"ago"
"73798","compares million",32,"cents"
"73799","compassionate conservatism",44,"campaign"
"73800","competition inflatable",38,"rides"
"73801","complain feel",27,"like"
"73802","complained city",26,"s"
"73803","complementary alternative",43,"medicine"
"73804","complete scouting",36,"services"
"73805","completed food",33,"exercise"
"73806","completely different",36,"player"
"73807","completing passes",33,"yards"
"73808","completions attempts",36,"yards"
"73809","complex challenge",37,"requiring"
"73810","composite index",30,"fell"
"73811","compound housing",34,"hundreds"
"73812","compound outskirts",33,"kabul"
"73813","comptroller john",30,"liu"
"73814","comptroller s",29,"office"
"73815","computer chip",31,"company"
"73816","computer hacking",30,"case"
"73817","computer science",32,"degree"
"73818","concerns allayed",28,"ap"
"73819","concerns company",27,"s"
"73820","concert last",28,"night"
"73821","concert seating",28,"pm"
"73822","concession stands",32,"will"
"73823","concessions last",30,"year"
"73824","concluded last",29,"year"
"73825","condition anonymity",33,"line"
"73826","condition holland",31,"like"
"73827","condition just",29,"like"
"73828","condition talking",31,"mom"
"73829","conditions called",30,"one"
"73830","conditions cutest",32,"thing"
"73831","conditions grateful",33,"good"
"73832","condolences family",35,"friends"
"73833","conduct thorough",33,"review"
"73834","conduct yearold",34,"shakopee"
"73835","conductor carl",31,"topilow"
"73836","confederation s",31,"women"
"73837","conference breathe",33,"want"
"73838","conference call",31,"today"
"73839","conference early",38,"observations"
"73840","conference girls",37,"basketball"
"73841","conference go",32,"romantic"
"73842","conference guy",29,"front"
"73843","conference hey",33,"sunshine"
"73844","conference ohh",34,"pointbreak"
"73845","conference player",32,"week"
"73846","conference playoff",35,"picture"
"73847","conference reason",33,"smile"
"73848","conference well",31,"pretty"
"73849","conferon global",34,"services"
"73850","confident can",28,"just"
"73851","confident will",31,"handled"
"73852","confirmed us",28,"senate"
"73853","confluence south",32,"platte"
"73854","confrontation took",34,"place"
"73855","congo square",27,"stage"
"73856","congrats good",27,"luck"
"73857","congrats new",26,"job"
"73858","congress deal",36,"unsymetrical"
"73859","congress gershwin",33,"prize"
"73860","congress holland",30,"like"
"73861","congress just",27,"like"
"73862","congress will",28,"pass"
"73863","congress wrote",30,"letter"
"73864","congressional term",35,"limits"
"73865","congressman paul",30,"ryan"
"73866","congresswoman marcia",35,"fudge"
"73867","connect one",28,"another"
"73868","consecutive state",33,"title"
"73869","consent agreement",32,"state"
"73870","conservatism campaign",37,"humane"
"73871","conservative elements",37,"party"
"73872","consider many",29,"people"
"73873","considered democratic",39,"nominee"
"73874","consistently ranked",34,"among"
"73875","consortium private",37,"companies"
"73876","conspiracy commit",34,"bribery"
"73877","conspiracy hack",37,"corporations"
"73878","constant temperature",41,"controlled"
"73879","constitute successful",38,"season"
"73880","construction federal",34,"land"
"73881","construction will",32,"take"
"73882","construction work",32,"done"
"73883","consulate santo",33,"domingo"
"73884","consumer advocacy",32,"group"
"73885","consumer bankruptcy",39,"attorneys"
"73886","consumer health",34,"products"
"73887","consumer product",32,"safety"
"73888","consumer spending",35,"accounts"
"73889","consumers take",36,"precautions"
"73890","consumers want",28,"know"
"73891","consumption study",32,"leeds"
"73892","contact gloucester",34,"county"
"73893","contact nichole",29,"olea"
"73894","contacted road",29,"rant"
"73895","containing cash",31,"credit"
"73896","contamination giving",36,"state"
"73897","contemporary art",34,"detroit"
"73898","contemporary jewish",36,"museum"
"73899","contest friday",28,"club"
"73900","continental s",32,"cleveland"
"73901","continue send",27,"doug"
"73902","continue steady",29,"pace"
"73903","continued practice",32,"law"
"73904","continued resist",34,"officer"
"73905","continuing remarkable",40,"comeback"
"73906","contract early",36,"observations"
"73907","contract expires",31,"next"
"73908","contract holland",30,"like"
"73909","contract practice",29,"s"
"73910","contract status",33,"entering"
"73911","contractor steven",33,"pumper"
"73912","contribute percent",36,"salaries"
"73913","contributed report",36,"breathe"
"73914","control breathe",29,"want"
"73915","control can",28,"control"
"73916","control give",30,"anything"
"73917","control just",26,"like"
"73918","control parts",27,"game"
"73919","control prevention",36,"percent"
"73920","control talking",28,"mom"
"73921","controlling interest",38,"british"
"73922","convention center",35,"downtown"
"73923","convention last",31,"month"
"73924","convention romney",32,"said"
"73925","conversationfriendly wheelchair",51,"accessible"
"73926","convicted attempted",36,"murder"
"73927","convicted counts",31,"child"
"73928","convicted criminal",37,"contempt"
"73929","convicted last",30,"month"
"73930","convicted trial",33,"february"
"73931","cook additional",33,"minutes"
"73932","cook county",33,"prosecutors"
"73933","cook s",28,"illustrated"
"73934","cook said",25,"unlike"
"73935","cook stirring",35,"occasionally"
"73936","cook tender",28,"minutes"
"73937","cooked duck",24,"fat"
"73938","cool pan",25,"minutes"
"73939","cool streaking",32,"dodgers"
"73940","cooper university",35,"hospital"
"73941","cooperate federal",38,"prosecutors"
"73942","cooperating federal",42,"investigators"
"73943","cooperstown ny",28,"july"
"73944","coordinator danny",37,"langsdorf"
"73945","coordinator kevin",36,"gilbride"
"73946","coordinator perry",33,"fewell"
"73947","coordinator tom",33,"bradley"
"73948","coors events",28,"center"
"73949","coowner george",30,"maloof"
"73950","copies bolingbroke",33,"book"
"73951","cor jesu",19,"s"
"73952","cordray former",28,"ohio"
"73953","core issue",28,"whether"
"73954","corey mitchell",37,"correspondent"
"73955","corner east",26,"ninth"
"73956","corner franklin",36,"california"
"73957","corner front",30,"oklahoma"
"73958","corner michigan",34,"trumbull"
"73959","corner new",25,"york"
"73960","cornerback lardarius",35,"webb"
"73961","cornerback prince",36,"amukamara"
"73962","cornerback tracy",32,"porter"
"73963","coroner engineer",34,"recorder"
"73964","coroner s",25,"report"
"73965","corporate college",32,"east"
"73966","corporate income",31,"taxes"
"73967","corporate jobs",28,"trim"
"73968","corporate tax",33,"loopholes"
"73969","corrections corp",33,"america"
"73970","correspondent star",35,"tribune"
"73971","correspondents association",42,"dinner"
"73972","corrugated metal",30,"roof"
"73973","corrupt practices",31,"act"
"73974","corruption county",37,"government"
"73975","corruption investigation",42,"cuyahoga"
"73976","corruption money",37,"laundering"
"73977","cost general",31,"admission"
"73978","cost grateful",27,"good"
"73979","cost guy",23,"front"
"73980","cost ice",25,"bucket"
"73981","cost just",24,"like"
"73982","cost least",27,"million"
"73983","cost members",32,"nonmembers"
"73984","cost million",29,"million"
"73985","cost much",26,"million"
"73986","cost per",24,"month"
"73987","cost taxpayers",32,"millions"
"73988","cost well",27,"million"
"73989","costa mesa",24,"city"
"73990","costliving increases",38,"percent"
"73991","costs breathe",28,"want"
"73992","costs health",26,"care"
"73993","costs increase",33,"wireless"
"73994","costume institute",31,"gala"
"73995","council americanislamic",42,"relations"
"73996","council boy",27,"scouts"
"73997","council economic",34,"advisers"
"73998","council grateful",30,"good"
"73999","council last",26,"week"
"74000","council meeting",27,"pm"
"74001","council member",30,"steve"
"74002","council members",30,"will"
"74003","council monday",30,"passed"
"74004","council ohh",31,"pointbreak"
"74005","council president",35,"barbara"
"74006","council shopping",33,"centers"
"74007","council southwestern",39,"illinois"
"74008","council voted",34,"unanimously"
"74009","councilman anibal",32,"ramos"
"74010","councilman dale",31,"miller"
"74011","councilman darrin",33,"sharif"
"74012","councilman kwame",35,"kenyatta"
"74013","councilman michael",35,"johnson"
"74014","councilman richard",36,"alarcon"
"74015","councilman ron",29,"rice"
"74016","councilor dai",31,"bingguo"
"74017","councilwoman mary",30,"pat"
"74018","councilwoman mildred",35,"crump"
"74019","count aggravated",34,"assault"
"74020","count team",22,"s"
"74021","counties baltimore",32,"city"
"74022","counties go",29,"romantic"
"74023","counties new",29,"jersey"
"74024","counties well",29,"pretty"
"74025","countries like",30,"italy"
"74026","country club",29,"country"
"74027","country coaches",36,"association"
"74028","country day",27,"school"
"74029","country hurt",31,"european"
"74030","country illegally",36,"requires"
"74031","country middle",28,"east"
"74032","country new",26,"york"
"74033","country s",28,"longterm"
"74034","country still",33,"recovering"
"74035","country world",28,"said"
"74036","country yet",28,"healed"
"74037","counts aggravated",33,"murder"
"74038","counts child",26,"rape"
"74039","counts hey",28,"sunshine"
"74040","counts invasion",33,"privacy"
"74041","county acting",33,"prosecutor"
"74042","county alcohol",29,"drug"
"74043","county animal",30,"control"
"74044","county attorney",29,"bill"
"74045","county board",32,"education"
"74046","county children",27,"s"
"74047","county college",31,"morris"
"74048","county commission",35,"chairman"
"74049","county coroner",29,"john"
"74050","county correctional",38,"facility"
"74051","county corruption",32,"probe"
"74052","county council",33,"approved"
"74053","county courthouse",32,"toms"
"74054","county democratic",37,"committee"
"74055","county department",33,"public"
"74056","county dream",26,"park"
"74057","county elected",30,"kelly"
"74058","county elections",35,"division"
"74059","county executive",31,"john"
"74060","county fairgrounds",33,"info"
"74061","county fire",30,"authority"
"74062","county first",31,"assistant"
"74063","county freeholder",35,"director"
"74064","county government",31,"one"
"74065","county health",34,"departments"
"74066","county howard",30,"county"
"74067","county jail",25,"bond"
"74068","county land",34,"reutilization"
"74069","county local",32,"officials"
"74070","county medical",30,"center"
"74071","county municipal",35,"employees"
"74072","county police",30,"report"
"74073","county prosecutor",34,"carolyn"
"74074","county prosecutors",32,"say"
"74075","county records",29,"list"
"74076","county s",27,"emergency"
"74077","county said",27,"county"
"74078","county san",29,"francisco"
"74079","county school",32,"districts"
"74080","county sheriff",29,"jerry"
"74081","county spokesman",29,"jim"
"74082","county state",32,"department"
"74083","county want",25,"keep"
"74084","county warrant",32,"yearold"
"74085","county water",31,"resources"
"74086","county will",25,"pay"
"74087","county winners",28,"will"
"74088","county year",27,"police"
"74089","couple days",26,"later"
"74090","couple hours",27,"later"
"74091","couple hundred",32,"dollars"
"74092","couple months",26,"ago"
"74093","couple s",27,"monthold"
"74094","couple times",27,"month"
"74095","couple weeks",28,"season"
"74096","couple years",27,"back"
"74097","course even",27,"though"
"74098","course every",26,"inch"
"74099","course game",28,"season"
"74100","course guy",25,"table"
"74101","course holland",28,"like"
"74102","course just",25,"like"
"74103","course thankful",34,"childhood"
"74104","course two",25,"hours"
"74105","court altercations",38,"announcing"
"74106","court court",28,"appeals"
"74107","court documents",33,"released"
"74108","court first",26,"time"
"74109","court former",33,"republican"
"74110","court judge",26,"glenn"
"74111","court last",24,"year"
"74112","court ruling",27,"held"
"74113","court s",25,"citizens"
"74114","court san",29,"francisco"
"74115","court special",31,"appeals"
"74116","court uphold",25,"law"
"74117","court will",28,"consider"
"74118","courtesy missouri",33,"gaming"
"74119","courthouse toms",31,"river"
"74120","courtroom monday",33,"morning"
"74121","courts around",30,"country"
"74122","courts coroner",32,"engineer"
"74123","cover chill",26,"least"
"74124","cover latest",31,"surgeries"
"74125","cover simmer",30,"minutes"
"74126","cowboys stadium",35,"arlington"
"74127","coyotes agitator",31,"raffi"
"74128","coyotes coach",27,"dave"
"74129","coyotes playoff",32,"victory"
"74130","craig robinson",29,"said"
"74131","craig s",22,"role"
"74132","craig whyte",26,"last"
"74133","crazy guy",24,"stays"
"74134","creamy horseradish",34,"sauce"
"74135","create construction",33,"jobs"
"74136","create jobs",28,"improve"
"74137","create new",24,"jobs"
"74138","create pure",27,"family"
"74139","create retain",27,"jobs"
"74140","created artist",25,"s"
"74141","created new",26,"york"
"74142","created path",34,"citizenship"
"74143","created years",27,"ago"
"74144","credibly accused",34,"priests"
"74145","credit card",29,"accounts"
"74146","credit rating",31,"agencies"
"74147","creek drive",31,"milwaukie"
"74148","crematory howell",32,"branch"
"74149","crews will",29,"continue"
"74150","crime every",25,"inch"
"74151","crime face",25,"years"
"74152","crime thankful",33,"childhood"
"74153","crimes increased",33,"percent"
"74154","criminal action",32,"killing"
"74155","criminal charges",32,"either"
"74156","criminal justice",36,"professor"
"74157","crisis early",35,"observations"
"74158","crisis hey",28,"sunshine"
"74159","crisis last",25,"year"
"74160","crisis reason",28,"smile"
"74161","crisis since",28,"great"
"74162","crisis well",27,"pretty"
"74163","critic stephen",31,"whitty"
"74164","critical city",32,"services"
"74165","critical condition",34,"police"
"74166","critical stable",35,"condition"
"74167","criticize obama",26,"s"
"74168","criticized president",36,"barack"
"74169","criticizing former",42,"massachusetts"
"74170","cross country",30,"coaches"
"74171","crosscourt pass",31,"fisher"
"74172","crowd around",27,"table"
"74173","crowd little",26,"full"
"74174","crowder walton",31,"goggins"
"74175","crown valley",29,"parkway"
"74176","crucial role",26,"road"
"74177","crude oil",25,"prices"
"74178","crude sexual",30,"content"
"74179","crystal cathedral",33,"board"
"74180","ct guy",22,"front"
"74181","ct ice",23,"bucket"
"74182","cuba can",25,"remain"
"74183","cuisine modern",32,"american"
"74184","culinary institute",35,"america"
"74185","cultural arts",31,"program"
"74186","cumberland gloucester",40,"counties"
"74187","cup calories",24,"g"
"74188","cup cooked",25,"black"
"74189","cup cooking",26,"water"
"74190","cup loosely",27,"packed"
"74191","cup starts",24,"none"
"74192","cup wholewheat",30,"flour"
"74193","cups ounces",27,"grams"
"74194","cups purpose",27,"flour"
"74195","curious theatre",33,"company"
"74196","current cast",28,"member"
"74197","current city",30,"council"
"74198","current contract",34,"expires"
"74199","current former",30,"female"
"74200","current state",29,"budget"
"74201","current supreme",31,"court"
"74202","currently rd",31,"standings"
"74203","currently seeking",35,"vendors"
"74204","currently world",26,"s"
"74205","curtis mccrary",29,"found"
"74206","cushy materials",33,"sculpted"
"74207","custody essex",29,"county"
"74208","customer area",26,"now"
"74209","customers breathe",31,"want"
"74210","customers give",32,"anything"
"74211","customers holland",31,"like"
"74212","customers just",28,"like"
"74213","customers still",32,"without"
"74214","customs enforcement",33,"ice"
"74215","cut back",22,"said"
"74216","cut billion",27,"budget"
"74217","cut corporate",27,"jobs"
"74218","cut country",22,"s"
"74219","cut inch",24,"cubes"
"74220","cut just",22,"like"
"74221","cut lead",21,"two"
"74222","cut spending",30,"sharply"
"74223","cut three",25,"years"
"74224","cuts come",23,"top"
"74225","cuts cutest",27,"thing"
"74226","cuts enacted",31,"president"
"74227","cuts first",24,"time"
"74228","cuts grateful",28,"good"
"74229","cuts ice",25,"bucket"
"74230","cuts state",23,"aid"
"74231","cutting state",24,"s"
"74232","cuyahoga county",36,"councilman"
"74233","cvs caremark",26,"corp"
"74234","cy young",24,"winner"
"74235","czech republic",25,"s"
"74236","d andre",22,"lane"
"74237","d d",15,"d"
"74238","d hunger",23,"games"
"74239","d mark",19,"ii"
"74240","d r",19,"janus"
"74241","d rockefeller",26,"iv"
"74242","da ali",18,"g"
"74243","da s",20,"office"
"74244","dad s",22,"spirit"
"74245","daffy dan",20,"s"
"74246","daily life",31,"exasperated"
"74247","daily menu",28,"service"
"74248","daily news",27,"reports"
"74249","dale miller",27,"former"
"74250","dales economist",33,"capital"
"74251","daley cook",26,"county"
"74252","dallas basket",32,"westbrook"
"74253","damaged april",29,"block"
"74254","dame de",23,"namur"
"74255","dame spokesman",30,"dennis"
"74256","damon signed",30,"indians"
"74257","dan auerbach",30,"drummer"
"74258","dan o",19,"dowd"
"74259","dan saltzman",27,"billy"
"74260","dana hills",24,"high"
"74261","daniel s",24,"brain"
"74262","daniel van",24,"pelt"
"74263","daniels seventime",31,"nba"
"74264","darkness edge",27,"town"
"74265","darrell steinberg",39,"dsacramento"
"74266","dart rolls",29,"showrooms"
"74267","darwin chuck",30,"captain"
"74268","data collected",30,"state"
"74269","data like",25,"people"
"74270","data released",32,"thursday"
"74271","data sales",28,"related"
"74272","data show",27,"percent"
"74273","data thankful",32,"childhood"
"74274","date april",28,"directly"
"74275","date back",25,"least"
"74276","date beach",32,"interesting"
